Date,Time,Open,High,Low,Close,Volume
12/19/2024,2:45 PM,2.85,2.87,2.7,2.8296,32174
12/19/2024,3:00 PM,2.83,2.86,2.75,2.83,27570
12/19/2024,3:15 PM,2.8001,2.9,2.78,2.805,82058
12/19/2024,3:30 PM,2.8,2.89,2.8,2.81,85727
12/19/2024,3:45 PM,2.81,2.97,2.8,2.95,33307
12/19/2024,4:00 PM,2.88,2.9,2.5,2.609,196910
12/20/2024,9:45 AM,2.7,2.85,2.61,2.78,90375
12/20/2024,10:00 AM,2.775,2.99,2.775,2.9599,64074
12/20/2024,10:15 AM,2.99,3.14,2.83,3.11,150985
12/20/2024,10:30 AM,3.12,3.24,3.1,3.19,147290
12/20/2024,10:45 AM,3.1834,3.19,2.98,3,92818
12/20/2024,11:00 AM,3.06,3.31,2.98,3.2699,69582
12/20/2024,11:15 AM,3.2618,3.42,3.26,3.4199,60149
12/20/2024,11:30 AM,3.3939,3.4,3.21,3.21,24644
12/20/2024,11:45 AM,3.225,3.3741,3.17,3.22,93729
12/20/2024,12:00 PM,3.21,3.3,3.1988,3.2582,20979
12/20/2024,12:15 PM,3.24,3.37,3.22,3.3565,89654
12/20/2024,12:30 PM,3.35,3.37,3.221,3.26,15856
12/20/2024,12:45 PM,3.3399,3.4392,3.27,3.415,26243
12/20/2024,1:00 PM,3.45,3.5,3.39,3.4401,50893
12/20/2024,1:15 PM,3.4745,3.5,3.33,3.35,17866
12/20/2024,1:30 PM,3.3,3.4101,3.3,3.4101,19167
12/20/2024,1:45 PM,3.405,3.48,3.29,3.4094,32100
12/20/2024,2:00 PM,3.35,3.48,3.34,3.42,17882
12/20/2024,2:15 PM,3.455,3.5,3.43,3.46,17124
12/20/2024,2:30 PM,3.5,3.59,3.4952,3.535,60757
12/20/2024,2:45 PM,3.54,3.54,3.4,3.41,41117
12/20/2024,3:00 PM,3.53,3.59,3.4,3.455,17504
12/20/2024,3:15 PM,3.434,3.45,3.2,3.27,38027
12/20/2024,3:30 PM,3.25,3.3884,3.21,3.3884,34446
12/20/2024,3:45 PM,3.37,3.39,3.25,3.33,12867
12/20/2024,4:00 PM,3.39,3.39,3.11,3.121,56695
12/23/2024,9:45 AM,4.9,4.9,4,4.2808,372974
12/23/2024,10:00 AM,4.225,4.7,4.15,4.59,177404
12/23/2024,10:15 AM,4.5675,4.6,4.3,4.3,123470
12/23/2024,10:30 AM,4.3824,4.5,4.29,4.4899,59417
