Date,Time,Open,High,Low,Close,Volume
12/27/2024,10:00 AM,17.17,19.35,17.11,18.4101,28257714
12/27/2024,10:15 AM,18.4154,18.48,16.53,16.7399,24039560
12/27/2024,10:30 AM,16.73,16.9799,15.7,16.0347,20654133
12/27/2024,10:45 AM,16.0399,16.06,15.44,15.84,15340401
12/27/2024,11:00 AM,15.825,17.7,15.75,17.21,20692161
12/27/2024,11:15 AM,17.21,17.5,16.61,17.03,11006882
12/27/2024,11:30 AM,17.03,17.75,16.93,17.5787,10883750
12/27/2024,11:45 AM,17.57,18.12,17.25,17.456,11186908
12/27/2024,12:00 PM,17.45,17.6499,16.95,17.53,7530648
12/27/2024,12:15 PM,17.539,17.75,17,17.04,5041842
12/27/2024,12:30 PM,17.0482,17.35,16.85,17.12,5730752
12/27/2024,12:45 PM,17.112,17.5,16.97,17.301,4787108
12/27/2024,1:00 PM,17.3264,17.45,16.95,17.26,4026301
12/27/2024,1:15 PM,17.255,17.67,17.2,17.48,4838818
12/27/2024,1:30 PM,17.5014,17.63,17.15,17.33,2980246
12/27/2024,1:45 PM,17.336,17.97,17.28,17.8713,6349198
12/27/2024,2:00 PM,17.87,17.8793,17.15,17.25,4800586
12/27/2024,2:15 PM,17.24,17.3,16.63,16.7571,7037900
12/27/2024,2:30 PM,16.755,16.77,16.01,16.4899,7442463
12/27/2024,2:45 PM,16.4649,16.97,16.46,16.96,5911498
12/27/2024,3:00 PM,16.9599,17.08,16.61,17.015,5301737
12/27/2024,3:15 PM,17.0183,17.5,16.85,17.25,6657288
12/27/2024,3:30 PM,17.2448,17.42,16.8,16.9495,4598702
12/27/2024,3:45 PM,16.9185,17.25,16.82,17.085,4093799
12/27/2024,4:00 PM,17.085,17.33,16.91,17.06,6170743
12/30/2024,9:45 AM,15.69,16.1664,14.52,14.9,20822380
12/30/2024,10:00 AM,14.8929,15.27,14.4,14.565,10934623
12/30/2024,10:15 AM,14.57,14.93,14.5,14.8201,6094405
12/30/2024,10:30 AM,14.82,15.38,14.55,14.595,7332464
12/30/2024,10:45 AM,14.5998,15.5,14.56,15.49,4865411
12/30/2024,11:00 AM,15.4925,16,15.4,15.97,7649533
12/30/2024,11:15 AM,15.98,16.38,15.6,16.1199,6855015
12/30/2024,11:30 AM,16.12,16.49,15.8301,16.3654,5998613
12/30/2024,11:45 AM,16.3643,16.38,16,16.31,3575355
12/30/2024,12:00 PM,16.3067,16.45,16.1,16.4475,2865776
12/30/2024,12:15 PM,16.45,16.91,16.44,16.82,5986696
12/30/2024,12:30 PM,16.8158,17.37,16.69,17.165,4772838
12/30/2024,12:45 PM,17.1631,18,17.11,17.5942,8414361
12/30/2024,1:00 PM,17.5972,17.95,17.59,17.8764,4648541
12/30/2024,1:15 PM,17.85,18.2395,17.62,18.015,4997466
12/30/2024,1:30 PM,18.0188,18.13,17.19,17.2001,5248779
12/30/2024,1:45 PM,17.2033,17.68,17.0901,17.5176,4680514
12/30/2024,2:00 PM,17.52,17.73,17.41,17.7088,2349371
12/30/2024,2:15 PM,17.7077,17.72,17.2,17.515,2295734
12/30/2024,2:30 PM,17.51,17.518,17.2,17.34,1840732
12/30/2024,2:45 PM,17.35,17.73,17.3201,17.571,2207331
12/30/2024,3:00 PM,17.5716,17.5716,17.33,17.3375,1194892
12/30/2024,3:15 PM,17.3302,17.3362,16.8,17.06,3820451
12/30/2024,3:30 PM,17.0472,17.24,16.91,16.945,2381177
12/30/2024,3:45 PM,16.945,17.14,16.8,16.905,2648555
12/30/2024,4:00 PM,16.91,17.23,16.9025,16.9801,3301823
12/31/2024,9:45 AM,17.47,17.92,16.23,17.8972,16107694
12/31/2024,10:00 AM,17.9,18,17.41,17.7134,10880228
12/31/2024,10:15 AM,17.71,17.8,16.87,17.6306,9730333
12/31/2024,10:30 AM,17.63,17.63,17.1,17.4259,5226204
12/31/2024,10:45 AM,17.4387,17.7,17.25,17.285,5259672
12/31/2024,11:00 AM,17.3,17.38,16.5,16.7101,7427760
12/31/2024,11:15 AM,16.7101,16.8299,16.3,16.7091,5554132
12/31/2024,11:30 AM,16.705,16.79,15.88,15.9888,6240384
12/31/2024,11:45 AM,15.9812,16.52,15.97,16.4001,3307056
12/31/2024,12:00 PM,16.41,16.8,16.38,16.7001,3103666
12/31/2024,12:15 PM,16.71,16.95,16.6605,16.7742,2969252
12/31/2024,12:30 PM,16.775,16.938,16.2,16.25,2915409
12/31/2024,12:45 PM,16.25,16.3699,16,16.3389,2703556
12/31/2024,1:00 PM,16.34,16.65,16.2001,16.62,2040642
12/31/2024,1:15 PM,16.6367,16.6367,16.35,16.39,1560570
12/31/2024,1:30 PM,16.3999,16.49,16.2,16.2301,1285082
12/31/2024,1:45 PM,16.23,16.26,15.76,16.145,3605377
12/31/2024,2:00 PM,16.145,16.17,15.59,15.6689,2894963
12/31/2024,2:15 PM,15.6601,16.05,15.51,16.015,3350947
12/31/2024,2:30 PM,16.01,16.0199,15.33,15.38,2973259
12/31/2024,2:45 PM,15.39,15.44,15.02,15.1685,4160918
12/31/2024,3:00 PM,15.1682,15.6228,15.13,15.4512,2564155
12/31/2024,3:15 PM,15.46,15.605,15.17,15.2399,2126615
12/31/2024,3:30 PM,15.23,15.34,15.1,15.278,2428577
